                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1465,                 1.7881,                 1.1971,                 0.2701,                0.13043,                0.13077,                0.06966,                 1.3518,                 13.948,                 1.4382,                 0.0705,              0.0032778,              0.0032778
                      2,                 1.0708,                0.87797,                 1.1658,                 0.6485,                0.37958,                0.49014,                0.36339,                 1.0075,                 2.4373,                 1.2052,               0.040435,              0.0065457,              0.0065457
                      3,                 1.0516,                0.79165,                 1.1648,                0.65134,                0.45068,                0.48439,                0.34198,                 1.1538,                 2.2466,                 1.3155,               0.010303,              0.0097475,              0.0097475
                      4,                  1.044,                 0.7329,                 1.1701,                0.59935,                0.69551,                0.65202,                0.46992,                 1.0002,                 2.0623,                 1.3173,               0.009703,               0.009703,               0.009703
                      5,                 1.0273,                0.69444,                 1.1561,                0.89308,                0.81887,                0.91979,                0.71329,                0.92327,                0.84108,                 1.1454,               0.009703,               0.009703,               0.009703
                      6,                 1.0029,                0.65151,                 1.1517,                 0.8873,                0.89077,                0.94115,                0.76909,                0.77937,                0.63868,                 1.0192,               0.009604,               0.009604,               0.009604
                      7,                0.99492,                0.64214,                 1.1501,                0.89113,                0.85998,                 0.9309,                 0.7574,                0.78651,                0.68586,                0.99502,               0.009505,               0.009505,               0.009505
                      8,                0.99197,                0.61041,                 1.1561,                0.75421,                0.84713,                0.86664,                0.67911,                0.84657,                0.83249,                 1.0996,               0.009406,               0.009406,               0.009406
                      9,                 1.0004,                0.60925,                 1.1584,                0.81763,                0.82382,                0.90081,                 0.7164,                0.82393,                0.81028,                 1.0486,               0.009307,               0.009307,               0.009307
                     10,                0.98091,                0.57614,                 1.1443,                 0.9057,                0.88146,                0.95634,                0.76041,                 0.7991,                0.62827,                 1.0398,               0.009208,               0.009208,               0.009208
                     11,                0.97253,                0.56743,                 1.1535,                0.92575,                0.95347,                0.96801,                0.78257,                0.79568,                 0.4988,                 1.0449,               0.009109,               0.009109,               0.009109
                     12,                0.96665,                0.56819,                   1.15,                0.91783,                0.93011,                0.96164,                0.79042,                0.75859,                0.62153,                 1.0277,                0.00901,                0.00901,                0.00901
                     13,                0.96216,                 0.5545,                 1.1502,                0.92646,                0.89269,                0.95477,                0.77773,                 0.7881,                0.68967,                 1.0771,               0.008911,               0.008911,               0.008911
                     14,                0.96675,                0.55517,                 1.1466,                0.88248,                0.90867,                0.96109,                0.78722,                0.74677,                0.63885,                 1.0496,               0.008812,               0.008812,               0.008812
                     15,                0.97591,                 0.5526,                 1.1542,                0.94693,                0.96945,                0.97832,                0.79905,                0.77985,                0.49064,                 1.0455,               0.008713,               0.008713,               0.008713
                     16,                0.95248,                0.53393,                  1.144,                0.92593,                0.91865,                0.96916,                 0.7723,                0.77347,                0.55169,                 1.0221,               0.008614,               0.008614,               0.008614
                     17,                0.95208,                0.52892,                 1.1506,                 0.9074,                0.96958,                0.97938,                0.80765,                0.77501,                 0.4791,                  1.045,               0.008515,               0.008515,               0.008515
                     18,                0.95743,                0.52616,                 1.1527,                0.82471,                0.80794,                0.92161,                0.73635,                0.79191,                0.65466,                 1.0558,               0.008416,               0.008416,               0.008416
                     19,                0.96257,                0.52153,                 1.1525,                0.88499,                0.91967,                0.97112,                  0.804,                0.74843,                 0.5354,                 1.0326,               0.008317,               0.008317,               0.008317
                     20,                0.95468,                0.52375,                 1.1514,                0.93371,                0.96688,                0.97934,                0.81736,                 0.7268,                0.44422,                 1.0142,               0.008218,               0.008218,               0.008218
                     21,                0.95719,                 0.5236,                 1.1604,                 0.9333,                0.96098,                0.97544,                0.81128,                0.73313,                0.45223,                 1.0223,               0.008119,               0.008119,               0.008119
                     22,                0.94871,                0.53404,                 1.1543,                0.94836,                0.96824,                0.98121,                0.81976,                 0.7305,                 0.4667,                 1.0212,                0.00802,                0.00802,                0.00802
                     23,                0.93855,                0.51223,                 1.1484,                0.92021,                0.89616,                 0.9588,                0.79425,                0.75905,                0.54521,                 1.0396,               0.007921,               0.007921,               0.007921
                     24,                0.93574,                0.51494,                 1.1481,                0.92721,                0.93592,                0.96988,                0.78278,                0.79888,                0.54532,                 1.0954,               0.007822,               0.007822,               0.007822
                     25,                0.94519,                0.50597,                 1.1545,                0.92195,                0.92277,                0.97878,                 0.8166,                0.73512,                0.50288,                 1.0365,               0.007723,               0.007723,               0.007723
                     26,                0.94326,                0.50894,                 1.1534,                0.90476,                0.91774,                0.96125,                0.78842,                0.75433,                0.52084,                 1.0515,               0.007624,               0.007624,               0.007624
                     27,                0.93823,                0.50504,                 1.1476,                0.96066,                 0.9802,                0.98136,                0.81702,                0.71987,                0.41787,                 1.0357,               0.007525,               0.007525,               0.007525
                     28,                0.93399,                0.50153,                 1.1451,                0.93798,                0.97171,                0.97864,                0.81852,                0.72675,                0.43473,                 1.0531,               0.007426,               0.007426,               0.007426
                     29,                0.93883,                0.49976,                 1.1492,                0.88527,                0.97493,                0.97232,                0.81405,                 0.7228,                0.44543,                 1.0403,               0.007327,               0.007327,               0.007327
                     30,                0.92904,                0.50237,                 1.1472,                0.97128,                0.99191,                 0.9839,                0.81721,                0.72206,                0.39977,                  1.026,               0.007228,               0.007228,               0.007228
                     31,                0.93745,                0.49398,                 1.1535,                 0.8973,                0.92878,                0.96828,                0.80466,                0.77048,                 0.5599,                 1.0644,               0.007129,               0.007129,               0.007129
                     32,                0.92901,                0.49329,                 1.1482,                0.94984,                 0.9787,                0.97999,                0.81815,                0.72427,                0.41808,                 1.0504,                0.00703,                0.00703,                0.00703
                     33,                0.92999,                0.48722,                 1.1505,                0.86349,                0.96572,                0.97686,                0.81951,                0.71799,                 0.4629,                  1.044,               0.006931,               0.006931,               0.006931
                     34,                0.92581,                0.48317,                 1.1455,                0.96259,                0.98568,                0.98091,                0.81305,                0.72086,                0.41602,                 1.0254,               0.006832,               0.006832,               0.006832
                     35,                0.93017,                0.48438,                 1.1441,                0.95253,                0.98526,                0.98075,                0.81815,                0.73881,                0.40467,                  1.052,               0.006733,               0.006733,               0.006733
                     36,                0.91981,                0.47837,                 1.1421,                0.94148,                0.96301,                 0.9818,                 0.8177,                0.74495,                0.41919,                 1.0651,               0.006634,               0.006634,               0.006634
                     37,                0.93087,                0.47664,                  1.155,                0.96215,                0.97493,                0.98357,                 0.8242,                0.71879,                0.40483,                 1.0489,               0.006535,               0.006535,               0.006535
                     38,                0.92275,                0.48057,                  1.158,                0.91897,                 0.9534,                0.98203,                0.82811,                0.70591,                0.43323,                 1.0487,               0.006436,               0.006436,               0.006436
                     39,                0.91404,                0.46737,                  1.144,                0.95742,                0.98801,                0.98235,                0.82303,                0.72022,                 0.3904,                 1.0524,               0.006337,               0.006337,               0.006337
